case_id,cores,status,selected,quality_source,makespan_cycles,singlecore_cycles,singlecore_speedup,bounded_cycles,bounded_speedup,makespan_delta_vs_bounded,quality_comparison,extra_ddr_bytes,bounded_extra_ddr_bytes,solver_wall_seconds,new_E0_wall_seconds,new_E0_calls,historical_E0_wall_seconds,historical_E0_attempt_id,bounded_source_commit,bounded_attempt_id,plan_sha256
044,4,ok,bounded,historical_exact_plan_bytes,124268,154407,1.2425322689670713,124268,1.2425322689670713,0,tie,5678624,5678624,0.7023832000013499,,0,0.17879095900570974,nikolastarx-20260924T1439Z-boundedfull4-99-P1-044-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-044-k4-r0,a00885b1a64b904966e2d20a46ed928c1170c25431a6840321d0d32ba00fa6f6
045,4,ok,bounded,historical_exact_plan_bytes,31878,125614,3.940460505677897,31878,3.940460505677897,0,tie,0,0,0.9815639999978885,,0,0.18805337499361485,nikolastarx-20260924T1439Z-boundedfull4-99-P1-045-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-045-k4-r0,31d4cb3d1151f05c137a5dc7b6186af32c33b92c47984c6f9c217504be67377a
046,4,ok,bounded,historical_exact_plan_bytes,124612,276455,2.218526305652746,124612,2.218526305652746,0,tie,4513952,4513952,0.48270899999988615,,0,0.13171804198645987,nikolastarx-20260924T1439Z-boundedfull4-99-P1-046-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-046-k4-r0,8949356c9405d486decfc8d1499e4768080a43960c781affe5f0e3fa709f3e3b
047,4,ok,fork,new_external_E0,198032,326508,1.6487638361476933,326508,1.0,-128476,win,4838778,0,3.515443899999809,10.997296599998663,1,,,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-047-k4-r0,8e95f44e653366a95445a85696d60d996dc624de6810a037f83f0efe2948319e
048,4,ok,bounded,historical_exact_plan_bytes,222220,222220,1.0,222220,1.0,0,tie,0,0,0.7209855000000971,,0,0.29512708299444057,nikolastarx-20260924T1439Z-boundedfull4-99-P1-048-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-048-k4-r0,a2c8ee0ee86366f0438836a7a660ded954bbb5652154fe947125c3f8d72a3d97
049,4,ok,bounded,historical_exact_plan_bytes,160242,196276,1.2248723805244568,160242,1.2248723805244568,0,tie,0,0,1.0306879000017943,,0,1.3641693749814294,nikolastarx-20260924T1439Z-boundedfull4-99-P1-049-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-049-k4-r0,9f56a830af6783e2df05541e4179d94c134c32203808ea060200a06b59231028
050,4,ok,bounded,historical_exact_plan_bytes,108147,149690,1.384134557592906,108147,1.384134557592906,0,tie,10368,10368,1.530682100001286,,0,1.4917101669998374,nikolastarx-20260924T1439Z-boundedfull4-99-P1-050-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-050-k4-r0,d1a06549c668681b49efa0037fb9e6dc72655da36748487e3b957f705c1b863a
051,4,ok,fork,historical_exact_plan_bytes,254308,607628,2.389338911870645,607628,1.0,-353320,win,9045350,0,0.8190576999986661,,0,2.0750742999989598,fang-q1-stage-c-20260924-chain-atomic-grain4-051-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-051-k4-r0,8b6cf4b0d92a092ec8db28031cfbc5806ff669fbe9053932a6d643b4640c64b4
052,4,ok,bounded,historical_exact_plan_bytes,47938,180301,3.7611289582377236,47938,3.7611289582377236,0,tie,259584,259584,1.069244800000888,,0,0.18512858400936238,nikolastarx-20260924T1439Z-boundedfull4-99-P1-052-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-052-k4-r0,4833ba628229a15ad7b1920e71299fd8cc1eafaaf9a5f16d64004c1f4eca5e29
053,4,ok,bounded,historical_exact_plan_bytes,492232,1472686,2.991853434965626,492232,2.991853434965626,0,tie,6360992,6360992,2.341079100002389,,0,9.102653624984669,nikolastarx-20260924T1439Z-boundedfull4-99-P1-053-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-053-k4-r0,0db4d8abee8ad253ceb2999da187080dac811a31938a1c2ac6d315df1c99cdfe
054,4,ok,bounded,historical_exact_plan_bytes,518015,815051,1.5734119668349371,518015,1.5734119668349371,0,tie,147456,147456,4.043229999999312,,0,16.76286458299728,nikolastarx-20260924T1439Z-boundedfull4-99-P1-054-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-054-k4-r0,8b89757272bec5e292b7cc0a73ee11522058c5d6c47be495f15bce43649409ee
055,4,ok,bounded,historical_exact_plan_bytes,31367,118835,3.788535722255874,31367,3.788535722255874,0,tie,115712,115712,0.6147509000002174,,0,0.18596787497517653,nikolastarx-20260924T1439Z-boundedfull4-99-P1-055-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-055-k4-r0,81762488b4bf1d0b7b520a101dcc136c3840ced0e00e3b2949b88d0b5dc1ae99
056,4,ok,bounded,historical_exact_plan_bytes,265746,277285,1.0434211615602869,265746,1.0434211615602869,0,tie,0,0,1.68916999999783,,0,4.289193250006065,nikolastarx-20260924T1439Z-boundedfull4-99-P1-056-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-056-k4-r0,36f6bef656b98734671d52d0cd244c321d44b2ebdccd2de8230f798142500617
057,4,ok,bounded,historical_exact_plan_bytes,20957,59726,2.8499308107076393,20957,2.8499308107076393,0,tie,288,288,0.4714535999992222,,0,0.13112937498954125,nikolastarx-20260924T1439Z-boundedfull4-99-P1-057-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-057-k4-r0,d202a95a756f30adaa66d1b23d909e3c0eb6c58cad91c9f147baec82b7c60773
058,4,timeout,fork,new_external_E0,,4539717,,1154137,3.933429913433154,,unavailable,,45326336,3.1766590000006545,90.08972920000087,1,,,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-058-k4-r0,0ec4ec81eb7fa19336cdd01844b6a7af51c20c778fdee3409dfd1df6b44079c2
