case_id,cores,fang_makespan_cycles,history_makespan_cycles,fang_baseline_speedup,history_baseline_speedup,history_algorithm,history_variant,history_solver_commit,history_record_id,history_ddr_bytes,history_extra_ddr_bytes,history_solver_wall_seconds
043,5,521171,521171,1.3002565376814903,1.3002565376814903,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,9e8024861154cd94eef62e1d1f37bf75e909855d1c1b51344996e1b721224436,2133238,702116,0.2780205410090275
044,5,144299,144299,1.0700489954885342,1.0700489954885342,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,36bc4ddfcac70397f267c346dc94935c86f9a8d57533e136450e04d75e75e16e,7012832,6037376,0.27750737499445677
045,5,30366,30366,4.136666008035303,4.136666008035303,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,a721b47e7d88a572c93dd0ef834c872e73bec801771a94233dd078f42fd05fcf,692224,135168,0.2763624590006657
046,5,174837,174837,1.5812156465736658,1.5812156465736658,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cf4fc324085ca032ab1b5d253acbc59306b78720438d7ef7bb6e4197d5ea131b,6032096,4970624,0.27649737501633354
047,5,317024,317024,1.0299157161602908,1.0299157161602908,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,4d0e56e857650b754cf8ce09fc73c7b80b96ba9245bc9a2c5154c340d60acbb2,517470,53528,0.276681916002417
048,5,223233,223233,0.9954621404541443,0.9954621404541443,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,8495982205c9127502ffc6af3ff27bd148480a19eac2a3686eb166cd21cc361a,544350,129560,0.27680449999752454
049,5,186694,186694,1.0513246274652641,1.0513246274652641,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,6605b79df83221cd269a00c3227e5e548034b7ae615b554fe68949f90db97fe6,360210,207670,0.2754435420210939
050,5,140660,140660,1.064197355324897,1.064197355324897,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,fe20a97fe4b3ae1af6dd9a9ba69824a9893d379dda6fb00647695102899691e2,487088,167712,0.2803000419808086
051,5,613466,613466,0.9904835801821128,0.9904835801821128,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,9079a1844d8fb16baa8add9a40979a5f06d1c51ecaedcb9f069e9906fe93b4f7,2162798,1769580,0.27945333399111405
052,5,114427,114427,1.5756858084193417,1.5756858084193417,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,aa0ac311fad8bdc19c2cb00bfc887dd89e1f7093689c49be8520875a424aa08d,1190532,380328,0.2746842500055209
053,5,689980,689980,2.1343894025913794,2.1343894025913794,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,acaa62150c6551774814b7668efa57a989938a47b8953284f693f5ca4f9e6d1c,9054934,6059646,0.282954083988443
054,5,755813,755813,1.0783765296442374,1.0783765296442374,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,e5564e91ac2d242924fc2d5bb3dc5d8217780cdb516f26bd5128e36b31384a54,2207820,601544,0.2813510420091916
055,5,39304,39304,3.0234836148992468,3.0234836148992468,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,eaac0648d10ae4c144f242dd29a912a5d4da2e9794c280679d87a2f2782ff751,1121574,495764,0.2828406670014374
056,5,279547,279547,0.9919083374173217,0.9919083374173217,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,b2b16702d954e0314e5153d3143c0e7551774f90b7145550f86e8596480cc5df,526678,305078,0.2834617500193417
057,5,33009,33009,1.809385319155382,1.809385319155382,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,88f12653772acb8add09f760b08524289ac829eeef2ebef2cfed857b0ae0cef0,793170,450710,0.2791455000115093
058,5,948121,948121,4.788119870775987,4.788119870775987,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,266588d6343266ea11008dfed803ae85a959ccb358768b748ed308a790e3e4a3,37810176,30142464,0.27732912500505336
059,5,155303,155303,5.340997920194716,5.340997920194716,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,e1d77fff6b9944b2321cd21881528ff2f864c8c608ef68b97bc07f132199e283,4464640,3121152,0.27349954200326465
060,5,846763,846763,1.049631360841227,1.049631360841227,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,75d43eda12d29e628c79e7ae8b54bc93a2132e12135a8f7dc877a0d9a61643fe,4633618,2534612,0.2769229169934988
061,5,39624,39624,1.9480870179689078,1.9480870179689078,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,fdeae97c482deea681223883e330fc45279cb39b84c3065be89e20861f4f1ed6,765028,220840,0.27831116699962877
062,5,832444,832444,3.4294306884306933,3.4294306884306933,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,1e613c89022c0608a644ebaed40236199e473ca9d7752396556234c861bd30f9,18934272,5532672,0.5564383750024717
063,5,434774,434774,2.4619618468445674,2.4619618468445674,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,a1e7fa18ca4fc9ce0b0e679a965e021e39104e7b4af417b11d26da5c6f835995,7091712,2070528,0.2834326250012964
064,5,19566,19566,0.9770009199632015,0.9770009199632015,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,f81adbf454f849cbc9accde9ff9e948ee4b87c3220cebff6e565f0f6c1a7c821,94138,56724,0.2757677920162678
065,5,30519,30519,1.7388512074445428,1.7388512074445428,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,1d83ba2d951947a9fad7984384f2ee08b488d865ffec4464488fe61b96748088,474622,158420,0.27842849999433383
066,5,342566,342566,1.048177577459526,1.048177577459526,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,16c1bb88958819fdc7fba6a9a085a1b212d0e663683950206db491dd848ca4ef,1490348,383314,0.2833169170189649
067,5,17811063,17811063,3.5839991133600506,3.5839991133600506,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,fdd399cdc75050d0d9f15c7502fa9d26175bf794ea2c273645aaa6412206fb4f,268489472,262441344,0.2847238329995889
068,5,338880,338880,1.068505075542965,1.068505075542965,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,c255394b1a53b08bceda78f43a69886f6833d56631a4f1b299780251532aa80f,3154118,382868,0.28284741699462757
069,5,21578,21578,1.1652609138937806,1.1652609138937806,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,3b59c16f419d9573edbbf2b67fa413dbc462e27b64806729036f174441dfa957,335824,209770,0.2777657089754939
070,5,63589,63589,1.8446586673795782,1.8446586673795782,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,0d54cc9fa3880903120bdd877f20ab565c2c0781fa2690aae53a40da9559505f,716996,297032,0.27702066701021977
071,5,16486,16486,1.1475797646487929,1.1475797646487929,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,67c60ab9872f9bc8e8f9287a7ed4962a45e45a11c24aff1f136d04c8e17964fa,302032,180586,0.27497800000128336
072,5,12713016,12713016,1.8797921752005975,1.8797921752005975,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,d601e01f1d5b8ad4afcae925ae1dc67b9502abe566a1881d44f154d1ff315e69,104307712,93204528,0.5495270830288064
