case_id,cores,old_B,old_M,old_B_over_M,new_B,new_M,new_B_over_M,delta_B_over_M,old_selected_strategy,new_selected_strategy,old_extraDDR_bytes,new_extraDDR_bytes,old_spill_bytes,new_spill_bytes
009,5,153261,87425,1.7530569059193595,153261,93548,1.6383140206097404,-0.11474288530961907,component_envelope,dominant_component_dag,49152,2303348,0,0
010,5,86969,31024,2.8032813305827746,86969,49255,1.7656887625621764,-1.0375925680205982,component_envelope,dominant_component_dag,145152,2504732,0,0
011,5,184697,46777,3.9484575753041025,184697,46777,3.9484575753041025,0.0,component_envelope,component_envelope,1622016,1622016,0,0
012,5,59088,12661,4.666929942342627,59088,32090,1.841321283889062,-2.8256086584535645,component_envelope,dominant_component_dag,48384,1226896,0,0
013,5,263949,54117,4.8773767947225455,263949,54117,4.8773767947225455,0.0,component_envelope,component_envelope,32768,32768,0,0
014,5,17698626,3666823,4.826692207395885,17698626,3666823,4.826692207395885,0.0,component_envelope,component_envelope,63322632,63322632,28088664,28088664
015,5,177362,40828,4.344126579798178,177362,86817,2.0429408986719193,-2.3011856811262583,component_envelope,dominant_component_dag,317952,3938530,0,0
016,5,7715523,2240622,3.4434737318476745,7715523,2240622,3.4434737318476745,0.0,dag_eft,dag_eft,281636,281636,0,0
017,5,162810,28510,5.710627849877236,162810,28510,5.710627849877236,0.0,component_envelope,component_envelope,329472,329472,0,0
018,5,1004367,196504,5.111178398404104,1004367,196504,5.111178398404104,0.0,component_envelope,component_envelope,4706304,4706304,0,0
019,5,81144,24346,3.3329499712478436,81144,22479,3.6097691178433204,0.2768191465954768,component_envelope,dominant_component_dag,76320,930424,0,0
020,5,532746,110112,4.838219267654751,532746,110112,4.838219267654751,0.0,component_envelope,component_envelope,0,0,0,0
021,5,6567937,1272517,5.161374661399416,6567937,1272517,5.161374661399416,0.0,component_envelope,component_envelope,13025280,13025280,3604480,3604480
022,5,56780,12863,4.414211303739408,56780,12863,4.414211303739408,0.0,component_envelope,component_envelope,20736,20736,0,0
023,5,122614,19530,6.278238607270866,122614,19530,6.278238607270866,0.0,component_envelope,component_envelope,270624,270624,0,0
024,5,2555343,746832,3.421576740150395,2555343,746832,3.421576740150395,0.0,dag_eft,dag_eft,268580,268580,0,0
025,5,4863026,942938,5.157312569861433,4863026,942938,5.157312569861433,0.0,component_envelope,component_envelope,110592,110592,0,0
026,5,99203,46161,2.149065228222959,99203,50458,1.9660509730865274,-0.18301425513643155,component_envelope,dominant_component_dag,211680,2067828,0,0
027,5,2363952,558753,4.230763861670542,2363952,558753,4.230763861670542,0.0,component_envelope,component_envelope,5529600,5529600,0,0
028,5,43836040,11491035,3.814803453300769,43836040,8089360,5.4189750487059545,1.6041715954051856,component_envelope,shared_input_wave,277818912,26780160,269224992,18186240
029,5,37555,11624,3.2308155540261527,37555,11624,3.2308155540261527,0.0,component_envelope,component_envelope,0,0,0,0
030,5,2808034,558860,5.024575027735032,2808034,558860,5.024575027735032,0.0,component_envelope,component_envelope,7488512,7488512,24576,24576
