case,cores,route,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,official_A_baseline,speedup
044,3,component_envelope,ok,123553,0.2810220420069527,0.2834974169963971,6136672,5161216,3300416,,154407,1.2497227910289512
044,4,component_envelope,ok,124268,0.2782424580072984,0.2826301669992972,6654080,5678624,2887424,,154407,1.2425322689670713
044,5,component_envelope,ok,132892,0.28718516702065244,0.28431945902411826,7171488,6196032,2474432,,154407,1.161898383649881
045,1,component_envelope,ok,125614,0.2873837499937508,0.28082650000578724,557056,0,0,,125614,1.0
045,2,component_envelope,ok,63245,0.28484795900294557,0.28955012498772703,557056,0,0,,125614,1.9861491026958653
045,3,component_envelope,ok,42994,0.28700858299271204,0.28705508398707025,557056,0,0,,125614,2.9216634879285484
045,4,component_envelope,ok,33079,0.28228225000202656,0.2787959999986924,557056,0,0,,125614,3.7973941171135768
045,5,component_envelope,ok,29103,0.28447579097701237,0.280519916996127,557056,0,0,,125614,4.31618733463904
046,1,component_envelope,ok,276455,0.29506291600409895,0.28040391599643044,4237760,3176288,3176288,,276455,1.0
046,2,component_envelope,ok,166578,0.2854443340038415,0.2827627910010051,4583104,3521632,2591232,,276455,1.6596129140702853
046,3,component_envelope,ok,142176,0.2828693750197999,0.28182979198754765,5082752,4021280,2160480,,276455,1.9444561670042764
046,4,component_envelope,ok,124612,0.27962170899263583,0.2807748749910388,5575424,4513952,1722752,,276455,2.218526305652746
046,5,component_envelope,ok,131039,0.28036529099335894,0.2884349160012789,6075136,5013664,1292064,,276455,2.10971542823129
047,1,component_envelope,ok,314219,0.5582452089875005,3.621015915996395,463942,0,0,,326508,1.0391096655517331
047,2,dag_eft,ok,208546,0.5651254169933964,4.192799542011926,3219692,2755750,0,,326508,1.5656401944894651
047,3,dag_eft,ok,173611,0.5598410840029828,4.460561707994202,4496402,4032460,0,,326508,1.8806872836398616
047,4,dag_eft,ok,154452,0.562249292008346,4.196615583001403,5122328,4658386,0,,326508,2.113977157951985
047,5,dag_eft,ok,161273,0.5626252499932889,4.489517333015101,5976638,5512696,0,,326508,2.024567038499935
048,1,component_envelope,ok,208057,0.28181037498870865,0.28291883401107043,414790,0,0,,222220,1.0680726916181624
048,2,dag_eft,ok,138160,0.2888749999983702,0.28004024998517707,1407564,992774,0,,222220,1.60842501447597
048,3,dag_eft,ok,119601,0.28227954101748765,0.5620155420037918,1453010,1038220,0,,222220,1.8580112206419679
