case,cores,route,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,official_A_baseline,speedup
035,5,component_envelope,ok,88584,0.285460332990624,0.5638923330116086,415462,4608,0,,169571,1.9142395917998736
036,1,component_envelope,ok,931510,0.2821257500036154,0.5646925000182819,6554752,0,0,,931510,1.0
036,2,component_envelope,ok,466068,0.28128141700290143,0.5543204169953242,6555904,1152,0,,931510,1.998656848356892
036,3,component_envelope,ok,311345,0.28754370799288154,0.5657332499977201,6557056,2304,0,,931510,2.991890025534375
036,4,component_envelope,ok,233584,0.2814469170116354,0.5611381669878028,6558208,3456,0,,931510,3.987901568600589
036,5,component_envelope,ok,187182,0.2804422499903012,0.5555110830173362,6559360,4608,0,,931510,4.976493466252097
037,1,component_envelope,ok,210533,0.2826092090108432,0.28168412498780526,614400,0,0,,210001,0.9974730802297027
037,2,component_envelope,ok,105906,0.2849729169975035,0.28100212500430644,819200,204800,0,,210001,1.982899930126716
037,3,component_envelope,ok,74570,0.27860945899738,0.2804457080201246,1679360,1064960,0,,210001,2.8161593133968084
037,4,component_envelope,ok,57428,0.2874942079943139,0.284731040999759,1228800,614400,0,,210001,3.656770216619071
037,5,component_envelope,ok,46194,0.2872033749881666,0.2838050830177963,2539520,1925120,0,,210001,4.546066588734468
038,1,component_envelope,ok,1353582,0.2782368750195019,1.3904241250129417,6662918,3859968,3859968,,1364555,1.0081066385339048
038,2,component_envelope,ok,669337,0.2813495409791358,1.1200202500040177,6271238,3468288,950784,,1364555,2.0386666208501847
038,3,component_envelope,ok,445815,0.2835079589858651,1.1199793750129174,8347910,5544960,612864,,1364555,3.0608099772327084
038,4,component_envelope,ok,336414,0.2845279170142021,1.124930541991489,9552134,6749184,235008,,1364555,4.056177804728698
038,5,component_envelope,ok,270889,0.2832700420112815,1.1336008330108598,11416838,8613888,55296,,1364555,5.037321559753257
039,1,component_envelope,ok,1425374,0.27967225000611506,1.397284624981694,13762560,9273344,9273344,,1435262,1.0069371266769283
039,2,component_envelope,ok,710818,0.2815105420013424,1.1229383750178386,16875520,12386304,8183808,,1435262,2.019169463913407
039,3,component_envelope,ok,487917,0.27829208300681785,1.1252184589975514,20041728,15552512,7147520,,1435262,2.94161097071838
039,4,component_envelope,ok,409739,0.2963713339995593,1.1111018339870498,23207936,18718720,6111232,,1435262,3.5028688994701507
039,5,component_envelope,ok,449653,0.29112491698469967,1.1151120839931536,26214400,21725184,4915200,,1435262,3.1919324456858957
040,1,component_envelope,ok,244334,0.28311079199193045,0.5630632499814965,911238,0,0,,253454,1.037325955454419
040,2,component_envelope,ok,142525,0.2800177500175778,0.5682437499926891,911238,0,0,,253454,1.7783125767409227
040,3,component_envelope,ok,103458,0.2838074159808457,0.5655103330209386,911238,0,0,,253454,2.4498250497786542
040,4,component_envelope,ok,103829,0.28087562500149943,0.5621295839955565,964998,53760,0,,253454,2.441071376975604
040,5,component_envelope,ok,104200,0.2802466659923084,0.5642527920135763,977286,66048,0,,253454,2.432380038387716
041,1,component_envelope,ok,6000284,0.5632876250019763,6.460251292010071,27965404,23015424,23015424,,6003957,1.0006121376921493
041,2,component_envelope,ok,2974004,0.5670117920089979,4.789221958024427,26733532,21783552,16889856,,6003957,2.0188126848518024
041,3,component_envelope,ok,1994157,0.562234333017841,4.207371750002494,27185116,22235136,12447744,,6003957,3.010774477636415
041,4,component_envelope,ok,1498613,0.5625845000031404,3.9056948329962324,29836252,24886272,10567680,,6003957,4.006342531394029
041,5,component_envelope,ok,1204582,0.5671522500051651,3.9055131250061095,30908380,25958400,7999488,,6003957,4.984265911328577
042,1,component_envelope,ok,1800662,0.28670737499487586,1.1284584579989314,9347044,6958080,6958080,,1686740,0.9367332680980661
042,2,component_envelope,ok,925438,0.28376837499672547,0.8330886250187177,9095428,6706464,4654080,,1686740,1.822639658194282
042,3,component_envelope,ok,661704,0.2830184589838609,0.8409808750147931,9037348,6648384,2774016,,1686740,2.5490853916554834
042,4,component_envelope,ok,500651,0.2851894170162268,0.839797417022055,9839140,7450176,2291712,,1686740,3.3690934403406763
042,5,component_envelope,ok,406208,0.2879942079889588,0.8451785839861259,10081540,7692576,1766400,,1686740,4.152404679376083
043,1,component_envelope,ok,616415,0.284103416983271,1.9644506659824401,1431122,0,0,,677656,1.099350275382656
043,2,component_envelope,ok,341549,0.5650218749942724,1.7095606249931734,1799762,368640,0,,677656,1.9840667078515821
043,3,component_envelope,ok,262377,0.2859245830040891,1.7101734169991687,1523282,92160,0,,677656,2.582756872744181
043,4,component_envelope,ok,263552,0.28474791601183824,1.6985527079959866,2030162,599040,0,,677656,2.5712421078193297
043,5,component_envelope,ok,264790,0.2810497499885969,1.6842002919875085,2444882,1013760,0,,677656,2.559220514369878
044,1,component_envelope,ok,154407,0.281736583012389,0.2830347909766715,5413568,4438112,4438112,,154407,1.0
044,2,component_envelope,ok,131105,0.2861975420091767,0.2861911249929108,5648448,4672992,3742592,,154407,1.1777354029213225
