case,cores,method,baseline,makespan,speedup,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup,attempt_id,revision
021,4,p1_v4_a0537aeb,6567937,1550324,4.236493145948847,6567937,1550324,4.236493145948847,4.236493145948847,nikolastarx-20260924T1952Z-s59ee-P1-021-k4-r0,1
021,5,p1_v4_a0537aeb,6567937,1250168,5.253643510312214,6567937,1250168,5.253643510312214,5.253643510312214,nikolastarx-20260924T1952Z-s59ee-P1-021-k5-r0,1
022,1,p1_v4_a0537aeb,56780,56780,1.0,56780,56780,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-022-k1-r0,1
022,2,p1_v4_a0537aeb,56780,28415,1.9982403660038712,56780,28415,1.9982403660038712,1.9982403660038712,nikolastarx-20260924T1952Z-s59ee-P1-022-k2-r0,1
022,3,p1_v4_a0537aeb,56780,19197,2.9577538157003698,56780,19197,2.9577538157003698,2.9577538157003698,nikolastarx-20260924T1952Z-s59ee-P1-022-k3-r0,1
022,4,p1_v4_a0537aeb,56780,14654,3.874709976798144,56780,14654,3.874709976798144,3.874709976798144,nikolastarx-20260924T1952Z-s59ee-P1-022-k4-r0,1
022,5,p1_v4_a0537aeb,56780,11828,4.800473452823808,56780,11828,4.800473452823808,4.800473452823808,nikolastarx-20260924T1952Z-s59ee-P1-022-k5-r0,1
023,1,p1_v4_a0537aeb,122614,122614,1.0,122614,122614,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-023-k1-r0,1
023,2,p1_v4_a0537aeb,122614,61829,1.983114719629947,122614,61829,1.983114719629947,1.983114719629947,nikolastarx-20260924T1952Z-s59ee-P1-023-k2-r0,1
023,3,p1_v4_a0537aeb,122614,41488,2.955408792903972,122614,41488,2.955408792903972,2.955408792903972,nikolastarx-20260924T1952Z-s59ee-P1-023-k3-r0,1
023,4,p1_v4_a0537aeb,122614,31518,3.890284916555619,122614,31518,3.890284916555619,3.890284916555619,nikolastarx-20260924T1952Z-s59ee-P1-023-k4-r0,1
023,5,p1_v4_a0537aeb,122614,24940,4.91635926222935,122614,24940,4.91635926222935,4.91635926222935,nikolastarx-20260924T1952Z-s59ee-P1-023-k5-r0,1
024,1,p1_v4_a0537aeb,2555343,2555343,1.0,2555343,2555343,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-024-k1-r0,1
024,2,p1_v4_a0537aeb,2555343,1506718,1.6959663321205427,2555343,1506718,1.6959663321205427,1.6959663321205427,nikolastarx-20260924T1952Z-s59ee-P1-024-k2-r0,1
024,3,p1_v4_a0537aeb,2555343,1228774,2.0795874587190157,2555343,1228774,2.0795874587190157,2.0795874587190157,nikolastarx-20260924T1952Z-s59ee-P1-024-k3-r0,1
024,4,p1_v4_a0537aeb,2555343,1072818,2.3818979547323034,2555343,1072818,2.3818979547323034,2.3818979547323034,nikolastarx-20260924T1952Z-s59ee-P1-024-k4-r0,1
024,5,p1_v4_a0537aeb,2555343,1067515,2.3937302988716787,2555343,1067515,2.3937302988716787,2.3937302988716787,nikolastarx-20260924T1952Z-s59ee-P1-024-k5-r0,1
025,1,p1_v4_a0537aeb,4863026,4869182,0.998735721934403,4863026,4869182,0.998735721934403,1.0,nikolastarx-20260924T1952Z-s59ee-P1-025-k1-r0,1
025,2,p1_v4_a0537aeb,4863026,2436772,1.9956836339222546,4863026,2436772,1.9956836339222546,1.9956836339222546,nikolastarx-20260924T1952Z-s59ee-P1-025-k2-r0,1
025,3,p1_v4_a0537aeb,4863026,1626688,2.989525957036629,4863026,1626688,2.989525957036629,2.989525957036629,nikolastarx-20260924T1952Z-s59ee-P1-025-k3-r0,1
025,4,p1_v4_a0537aeb,4863026,1221396,3.9815309694808234,4863026,1221396,3.9815309694808234,3.9815309694808234,nikolastarx-20260924T1952Z-s59ee-P1-025-k4-r0,1
025,5,p1_v4_a0537aeb,4863026,975282,4.986276789687495,4863026,975282,4.986276789687495,4.986276789687495,nikolastarx-20260924T1952Z-s59ee-P1-025-k5-r0,1
026,1,p1_v4_a0537aeb,99203,99203,1.0,99203,99203,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-026-k1-r0,1
026,2,p1_v4_a0537aeb,99203,58112,1.707100082599119,99203,58112,1.707100082599119,1.707100082599119,nikolastarx-20260924T1952Z-s59ee-P1-026-k2-r0,1
026,3,p1_v4_a0537aeb,99203,41655,2.3815388308726444,99203,41655,2.3815388308726444,2.3815388308726444,nikolastarx-20260924T1952Z-s59ee-P1-026-k3-r0,1
026,4,p1_v4_a0537aeb,99203,42226,2.3493345332259743,99203,42226,2.3493345332259743,2.3493345332259743,nikolastarx-20260924T1952Z-s59ee-P1-026-k4-r0,1
026,5,p1_v4_a0537aeb,99203,44114,2.2487872330779344,99203,44114,2.2487872330779344,2.2487872330779344,nikolastarx-20260924T1952Z-s59ee-P1-026-k5-r0,1
027,1,p1_v4_a0537aeb,2363952,2363952,1.0,2363952,2363952,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-027-k1-r0,1
027,2,p1_v4_a0537aeb,2363952,1120962,2.10886006840553,2363952,1120962,2.10886006840553,2.10886006840553,nikolastarx-20260924T1952Z-s59ee-P1-027-k2-r0,1
027,3,p1_v4_a0537aeb,2363952,837049,2.8241500796249683,2363952,837049,2.8241500796249683,2.8241500796249683,nikolastarx-20260924T1952Z-s59ee-P1-027-k3-r0,1
027,4,p1_v4_a0537aeb,2363952,559196,4.227412213249022,2363952,559196,4.227412213249022,4.227412213249022,nikolastarx-20260924T1952Z-s59ee-P1-027-k4-r0,1
027,5,p1_v4_a0537aeb,2363952,508076,4.652752737779387,2363952,508076,4.652752737779387,4.652752737779387,nikolastarx-20260924T1952Z-s59ee-P1-027-k5-r0,1
028,1,p1_v4_a0537aeb,43836040,43896686,0.9986184378474493,43836040,43896686,0.9986184378474493,1.0,nikolastarx-20260924T1952Z-s59ee-P1-028-k1-r0,1
028,2,p1_v4_a0537aeb,43836040,20304493,2.1589330006910292,43836040,20304493,2.1589330006910292,2.1589330006910292,nikolastarx-20260924T1952Z-s59ee-P1-028-k2-r0,1
028,3,p1_v4_a0537aeb,43836040,13802319,3.1759909331178333,43836040,13802319,3.1759909331178333,3.1759909331178333,nikolastarx-20260924T1952Z-s59ee-P1-028-k3-r0,1
028,4,p1_v4_a0537aeb,43836040,10263317,4.271137683850163,43836040,10263317,4.271137683850163,4.271137683850163,nikolastarx-20260924T1952Z-s59ee-P1-028-k4-r0,1
028,5,p1_v4_a0537aeb,43836040,8279736,5.2943765356769825,43836040,8279736,5.2943765356769825,5.2943765356769825,nikolastarx-20260924T1952Z-s59ee-P1-028-k5-r0,1
029,1,p1_v4_a0537aeb,37555,37555,1.0,37555,37555,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-029-k1-r0,1
029,2,p1_v4_a0537aeb,37555,19740,1.9024822695035462,37555,19740,1.9024822695035462,1.9024822695035462,nikolastarx-20260924T1952Z-s59ee-P1-029-k2-r0,1
029,3,p1_v4_a0537aeb,37555,12743,2.9471082162756024,37555,12743,2.9471082162756024,2.9471082162756024,nikolastarx-20260924T1952Z-s59ee-P1-029-k3-r0,1
029,4,p1_v4_a0537aeb,37555,11028,3.405422560754443,37555,11028,3.405422560754443,3.405422560754443,nikolastarx-20260924T1952Z-s59ee-P1-029-k4-r0,1
029,5,p1_v4_a0537aeb,37555,9383,4.002451241607162,37555,9383,4.002451241607162,4.002451241607162,nikolastarx-20260924T1952Z-s59ee-P1-029-k5-r0,1
030,1,p1_v4_a0537aeb,2808034,2792105,1.0057050146753077,2808034,2792105,1.0057050146753077,1.0,nikolastarx-20260924T1952Z-s59ee-P1-030-k1-r0,1
