case,cores,makespan,extra_ddr,ddr_bytes,spill_bytes,solver_wall,evaluation_wall,e0_result_reused,platform,cpu,workers,timing_scope,attempt_id,revision,run_id,solver_commit,source_result_sha256
013,2,132198,8192,2535424,0,0.3477870000060648,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-013-k2,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,7eb610986f2e6dba647a7cd98ffd6ec2aac571e2463129189ef93508ad7cad15
013,3,88351,16384,2543616,0,0.345134292030707,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-013-k3,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,c05686dd766e82cbf26bde11a781d4d8e5ebb910e7571e125633b5976373ea9f
013,4,66982,24576,2551808,0,0.3448600829578936,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-013-k4,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,fac5dbe9c96e5343bbc31ace65c94d464470d0b9ab56b1c0dbf1440512327f0d
013,5,54363,32768,2560000,0,0.34998429100960493,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-013-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,0c819a2d4b93d59763e35db9be599ed4c70f87f39dbfff81382636bd35885dbd
014,1,17579821,78349728,88282468,24469920,1.2261172499856912,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-014-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,68382a64f49e82911979837f0b01dc309a3f23ccaa8af31a1908f35a0ed6029a
014,2,8752017,84650712,94583452,8305152,22.835835583042353,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-014-k2,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,40faa5afc474724b225f725dc3be2a68b011b7a995135d567b4a4bea6003288c
014,3,5882800,97191984,107124724,6428160,23.800295541994274,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-014-k3,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,fed863a6d36abd4e5766f7a47aa59cd9f62711dd7089d3ab4313f1d735b26382
014,4,4500863,83812344,93745084,54417408,24.867051625042222,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-014-k4,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,16bfa8038f8315699789de26e283e1e61b5d91e41037416c8872a8cad9ca7b6d
014,5,3642307,105360432,115293172,9870336,25.551509333017748,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-014-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,715a56937c90446941d70ab56b50aa6dc8664a8195db52311ddcfe553356b15d
015,1,177362,180256,1064870,180256,0.36152220802614465,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-015-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,3baab8b07ae6132e8c05ab968d2caa7e980841028c8fd53ab829d8dc81d6a94b
