case,cores,status,makespan_cycles,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,solver_wall_seconds,evaluation_wall_seconds,extra_ddr_bytes,spill_bytes,base_selected,attempt_id,run_id,reused
023,1,ok,122614,122614,111417,1.0,0.9086809010390331,0.07737025001551956,0.17520395797328092,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-023-k1-r0,20260924T1459Z-bounded400,False
023,2,ok,61829,122614,111417,1.983114719629947,1.8020184702971098,0.0776461249915883,0.18150662499829195,74016,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-023-k2-r0,20260924T1459Z-bounded400,False
023,3,ok,41488,122614,111417,2.955408792903972,2.6855235248746627,0.03969958398374729,0.18125829097698443,196896,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-023-k3-r0,20260924T1459Z-bounded400,False
023,4,ok,31518,122614,111417,3.890284916555619,3.5350276032743193,0.04039020900381729,0.18795387499267235,281280,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-023-k4-r0,20260924T1439Z-boundedfull4-99,True
023,5,ok,24940,122614,111417,4.91635926222935,4.467401764234162,0.04115524998633191,0.17986037500668317,280992,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-023-k5-r0,20260924T1459Z-bounded400,False
024,1,ok,2555343,2555343,2666212,1.0,1.043387130416543,0.12990900001022965,3.0618414169875905,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-024-k1-r0,20260924T1459Z-bounded400,False
024,2,ok,2555343,2555343,2666212,1.0,1.043387130416543,0.12757766697905026,3.102985749981599,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-024-k2-r0,20260924T1459Z-bounded400,False
024,3,ok,2555343,2555343,2666212,1.0,1.043387130416543,0.18321479100268334,3.1324182499956805,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-024-k3-r0,20260924T1459Z-bounded400,False
024,4,ok,2555343,2555343,2666212,1.0,1.043387130416543,0.1825650829996448,2.8407236249768175,0,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-024-k4-r0,20260924T1439Z-boundedfull4-99,True
024,5,ok,2555343,2555343,2666212,1.0,1.043387130416543,0.12739291597972624,3.1418232079886366,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-024-k5-r0,20260924T1459Z-bounded400,False
025,1,ok,4869182,4863026,4899852,0.998735721934403,1.006298799264435,0.5599484579870477,3.483727375016315,497664,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-025-k1-r0,20260924T1459Z-bounded400,False
025,2,ok,2436772,4863026,3702396,1.9956836339222546,1.5193854821050143,0.5599686659988947,3.615777875005733,525312,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-025-k2-r0,20260924T1459Z-bounded400,False
