case,problem,cores,algorithm,status,makespan_cycles,singlecore_cycles,multicore_speedup,solver_wall_seconds,e0_wall_seconds,data_movement_bytes,cache_hit_rate,no_cache_makespan_cycles,cache_speedup,error,source_commit,result_path
018,P1,5,q1_search_32_seed0,ok,203471,1004367,4.936167807697411,53.11133730000074,2.5,"{""original_graph_copy_bytes"":1592848,""scheduled_copy_bytes"":10375952,""added_copy_bytes"":8783104,""partition_added_copy_bytes"":8783104,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/018/k5/search/e0_best/result.json.gz
019,P1,1,official_singlecore_baseline,ok,81144,81144,1.0,,,"{""original_graph_copy_bytes"": 186984, ""scheduled_copy_bytes"": 186984, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/019/e0/result.json.gz
019,P1,2,q1_search_32_seed0,ok,39311,81144,2.0641550710996923,30.83894750000036,0.6090000000003783,"{""original_graph_copy_bytes"":186984,""scheduled_copy_bytes"":238728,""added_copy_bytes"":51744,""partition_added_copy_bytes"":51744,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/019/k2/search/e0_best/result.json.gz
019,P1,3,q1_search_32_seed0,ok,28665,81144,2.830769230769231,34.232331299999714,0.6869999999998981,"{""original_graph_copy_bytes"":186984,""scheduled_copy_bytes"":265896,""added_copy_bytes"":78912,""partition_added_copy_bytes"":78912,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/019/k3/search/e0_best/result.json.gz
019,P1,4,q1_search_32_seed0,ok,24099,81144,3.3671106684924688,21.773709999999483,0.5940000000009604,"{""original_graph_copy_bytes"":186984,""scheduled_copy_bytes"":443112,""added_copy_bytes"":256128,""partition_added_copy_bytes"":256128,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/019/k4/search/e0_best/result.json.gz
019,P1,5,q1_search_32_seed0,ok,24134,81144,3.362227562774509,22.332247099999222,0.6569999999992433,"{""original_graph_copy_bytes"":186984,""scheduled_copy_bytes"":443112,""added_copy_bytes"":256128,""partition_added_copy_bytes"":256128,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/019/k5/search/e0_best/result.json.gz
020,P1,1,official_singlecore_baseline,ok,532746,532746,1.0,,,"{""original_graph_copy_bytes"": 2359296, ""scheduled_copy_bytes"": 2359296, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/020/e0/result.json.gz
020,P1,2,q1_search_32_seed0,ok,274686,532746,1.9394727070181954,57.37401130000035,2.8589999999985594,"{""original_graph_copy_bytes"":2359296,""scheduled_copy_bytes"":2359296,""added_copy_bytes"":0,""partition_added_copy_bytes"":0,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/020/k2/search/e0_best/result.json.gz
020,P1,3,q1_search_32_seed0,ok,186403,532746,2.858033400749988,57.83518920000097,2.8439999999991414,"{""original_graph_copy_bytes"":2359296,""scheduled_copy_bytes"":2392064,""added_copy_bytes"":32768,""partition_added_copy_bytes"":32768,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/020/k3/search/e0_best/result.json.gz
020,P1,4,q1_search_32_seed0,ok,142149,532746,3.747799843825845,59.16589439999916,2.7810000000008586,"{""original_graph_copy_bytes"":2359296,""scheduled_copy_bytes"":2404352,""added_copy_bytes"":45056,""partition_added_copy_bytes"":45056,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/020/k4/search/e0_best/result.json.gz
