case_id,cores,full_contiguous_cycles,singlecore_cycles,speedup_B_over_M,speedup_over_k,known_reported_envelope_cycles,envelope_source,contiguous_over_known_envelope,extra_ddr_bytes,spill_bytes,eligible_ops,weak_components,max_component_ops,largest_component_fraction,homogeneous_word_guard,structure_class
089,2,346832,693092,1.998350786547954,0.999175393273977,346832,contiguous-full500,1.0,238720,0,5120,40,128,0.025,False,multiple-components
020,2,266580,532746,1.9984469952734638,0.9992234976367319,266580,contiguous-full500,1.0,0,0,7008,288,28,0.003995433789954338,False,multiple-components
036,2,466068,931510,1.998656848356892,0.999328424178446,466068,contiguous-full500,1.0,1152,0,2400,800,3,0.00125,False,multiple-components
095,2,1042890,2084853,1.9991111238960964,0.9995555619480482,1042890,contiguous-full500,1.0,0,0,3696,462,8,0.0021645021645021645,True,multiple-components
025,2,2431840,4863026,1.9997310678334101,0.9998655339167051,2431840,contiguous-full500,1.0,27648,0,18662,2666,7,0.00037509377344336085,False,multiple-components
079,2,15500252,31052251,2.003338461852104,1.001669230926052,15500252,contiguous-full500,1.0,32555008,30392320,18720,288,65,0.003472222222222222,False,multiple-components
021,2,3268622,6567937,2.0093901956237215,1.0046950978118607,3268622,contiguous-full500,1.0,4702208,3883008,3920,80,49,0.0125,False,multiple-components
027,2,1169004,2363952,2.022193251691183,1.0110966258455916,1169004,contiguous-full500,1.0,1425408,688128,1424,16,89,0.0625,False,multiple-components
071,3,19758,18919,0.9575361878732666,0.31917872929108887,19758,contiguous-full500,1.0,84676,0,741,1,741,1.0,False,single-component
069,3,26068,25144,0.9645542427497314,0.32151808091657713,26068,contiguous-full500,1.0,127814,0,1032,1,1032,1.0,False,single-component
