case_id,official_singlecore_cycles,k1_cycles,k1_speedup,k2_cycles,k2_speedup,k3_cycles,k3_speedup,k4_cycles,k4_speedup,k5_cycles,k5_speedup
030,2808034,3390137,0.8282951396949445,2392531,1.1736667152902094,2237393,1.2550472804733008,2204660,1.273681202543703,2203311,1.2744610270633605
031,1414369,1562276,0.9053259475278376,1373307,1.0299000878900348,1373307,1.0299000878900348,1373307,1.0299000878900348,1373307,1.0299000878900348
032,41443,42166,0.9828534838495471,42166,0.9828534838495471,42166,0.9828534838495471,42166,0.9828534838495471,42166,0.9828534838495471
033,1774196,1953972,0.9079945874352345,1640546,1.0814667799622808,1566073,1.132894826741793,1493259,1.1881368202033271,1496745,1.1853695853335071
034,842996,965325,0.8732768756636367,842370,1.0007431413749304,842370,1.0007431413749304,842370,1.0007431413749304,842370,1.0007431413749304
035,169571,185073,0.9162384572574065,185073,0.9162384572574065,185073,0.9162384572574065,185073,0.9162384572574065,185073,0.9162384572574065
036,931510,1011715,0.9207237216014391,1011715,0.9207237216014391,1011715,0.9207237216014391,1011715,0.9207237216014391,1011715,0.9207237216014391
037,210001,240609,0.8727894634032809,240609,0.8727894634032809,240609,0.8727894634032809,240609,0.8727894634032809,240609,0.8727894634032809
038,1364555,1536384,0.8881601214279763,1139781,1.1972080601448876,1082156,1.2609596028668695,1085379,1.2572152215954058,1090543,1.251261986001469
039,1435262,1743064,0.8234132539023237,1388446,1.0337182720826017,1390996,1.031823240325637,1393064,1.0302915013237008,1391150,1.0317090177191532
040,253454,278611,0.9097056469414345,278611,0.9097056469414345,278611,0.9097056469414345,278611,0.9097056469414345,278611,0.9097056469414345
041,6003957,6686039,0.8979841427787065,4441541,1.3517734047710017,3831951,1.5668146591644831,3681021,1.6310575245291998,3664879,1.638241535395848
042,1686740,1958329,0.8613159484438008,1340989,1.257832838300687,1155940,1.4591933837396405,1120543,1.5052880612345978,1090518,1.5467328370554176
043,677656,746000,0.9083860589812333,726247,0.9330930110554674,726247,0.9330930110554674,726247,0.9330930110554674,726247,0.9330930110554674
044,154407,131407,1.1750287275411508,131407,1.1750287275411508,131407,1.1750287275411508,131407,1.1750287275411508,131407,1.1750287275411508
045,125614,204380,0.6146100401213426,204380,0.6146100401213426,204380,0.6146100401213426,204380,0.6146100401213426,204380,0.6146100401213426
046,276455,249868,1.1064041814077834,249868,1.1064041814077834,249868,1.1064041814077834,249868,1.1064041814077834,249868,1.1064041814077834
047,326508,358012,0.9120029496218004,358012,0.9120029496218004,358012,0.9120029496218004,358012,0.9120029496218004,358012,0.9120029496218004
048,222220,226990,0.9789858584078593,226990,0.9789858584078593,226990,0.9789858584078593,226990,0.9789858584078593,226990,0.9789858584078593
049,196276,215266,0.9117835608038427,215266,0.9117835608038427,215266,0.9117835608038427,215266,0.9117835608038427,215266,0.9117835608038427
050,149690,163376,0.9162300460287924,163376,0.9162300460287924,163376,0.9162300460287924,163376,0.9162300460287924,163376,0.9162300460287924
051,607628,634666,0.9573980644937652,634666,0.9573980644937652,634666,0.9573980644937652,634666,0.9573980644937652,634666,0.9573980644937652
052,180301,177263,1.0171383763109052,177263,1.0171383763109052,177263,1.0171383763109052,177263,1.0171383763109052,177263,1.0171383763109052
053,1472686,1424549,1.0337910454466641,1424549,1.0337910454466641,1424549,1.0337910454466641,1424549,1.0337910454466641,1424549,1.0337910454466641
054,815051,880054,0.926137487017842,880054,0.926137487017842,880054,0.926137487017842,880054,0.926137487017842,880054,0.926137487017842
055,118835,110901,1.0715412845691201,110901,1.0715412845691201,110901,1.0715412845691201,110901,1.0715412845691201,110901,1.0715412845691201
