batch,problem,case_id,cores,status,makespan_cycles,singlecore_cycles,speedup,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,cache_speedup,algorithm_id,source,case_no
A-farmer-q1-v3,P1,026,5,ok,42954.0,,2.3095171578898355,12.65,,746726.0,217872.0,,,,q1-propose-e0,703fed17 (feed 638c565a),26
A-farmer-q1-v3,P1,026,1,ok,99203.0,,1.0,,0.364,,,,,,official-singlecore,703fed17 (feed 638c565a),26
A-farmer-q1-v3,P1,027,2,ok,1124556.0,,2.1021203034797735,23.02,,7569408.0,5529600.0,,,,q1-propose-e0,703fed17 (feed 638c565a),27
A-farmer-q1-v3,P1,027,3,ok,777384.0,,3.040906424624124,24.31,,7618560.0,5578752.0,,,,q1-propose-e0,703fed17 (feed 638c565a),27
A-farmer-q1-v3,P1,027,4,ok,565244.0,,4.182179731231114,22.81,,7569408.0,5529600.0,,,,q1-propose-e0,703fed17 (feed 638c565a),27
A-farmer-q1-v3,P1,027,5,ok,563442.0,,4.195555176930367,24.14,,7618560.0,5578752.0,,,,q1-propose-e0,703fed17 (feed 638c565a),27
A-farmer-q1-v3,P1,027,1,ok,2363952.0,,1.0,,0.86,,,,,,official-singlecore,703fed17 (feed 638c565a),27
A-farmer-q1-v3,P1,028,2,ok,40233254.0,,,164.5,,344466672.0,338558064.0,,,,q1-propose-e0,703fed17 (feed 638c565a),28
A-farmer-q1-v3,P1,028,3,ok,40259354.0,,,170.21,,344466672.0,338558064.0,,,,q1-propose-e0,703fed17 (feed 638c565a),28
A-farmer-q1-v3,P1,028,4,ok,40280954.0,,,165.26,,344466672.0,338558064.0,,,,q1-propose-e0,703fed17 (feed 638c565a),28
A-farmer-q1-v3,P1,028,5,ok,40283654.0,,,113.74,,344466672.0,338558064.0,,,,q1-propose-e0,703fed17 (feed 638c565a),28
A-farmer-q1-v3,P1,028,1,timeout,,,,,,,,,,,official-singlecore,703fed17 (feed 638c565a),28
A-farmer-q1-v3,P1,029,2,ok,20250.0,,1.854567901234568,13.67,,430164.0,0.0,,,,q1-propose-e0,703fed17 (feed 638c565a),29
A-farmer-q1-v3,P1,029,3,ok,13188.0,,2.847664543524416,13.32,,430164.0,0.0,,,,q1-propose-e0,703fed17 (feed 638c565a),29
A-farmer-q1-v3,P1,029,4,ok,11198.0,,3.3537238792641544,13.38,,444516.0,14352.0,,,,q1-propose-e0,703fed17 (feed 638c565a),29
