case,cores,plan_sha256,p2_sha256,p3_sha256,no_l2_makespan,cache_makespan,cache_gain,hit_bytes,miss_bytes,byte_hit_rate,category
025,1,d16fa6647a47cb587264013e28ec1ab322da33a6a6c57a304abcbf6f8cbcf0f5,37478be453bad4dce850a4265bf9da993a6a0512ad080f0c50d31dc5e1f10e48,8499496bde805f5772928ffccf36bdd001da652290d5ae8c3ccc193a524ef120,4703066,4703066,1.0,0,4122624,0.0,parity
026,1,0973204b912f05970b53303e1758fe4554693640567e72bba849f14b388af210,e23e9bc1de776802347f95d8f4dfc9d47663a8e726597012bc82646447edaa5e,a6168e31fce3e673ce763cb1ff364343d866f181dc07b0da88e87f1e647e3aa6,74116,73319,1.0108703064689917,114688,704962,0.13992313792472397,positive
027,1,f9682068313d82f98592ff50c9d7fba911100d1b3a1662c0bb9a3fc173c1ad24,a75e2899885347b4b83ed9544d163b6db1d446a140bd72d18a5e4abae2a2885d,240919aefc3e923ef85b5e7b3a7b6512486c5deb4e44bcc8effc4efd1277d2e5,2358379,2356733,1.0006984244715036,909312,2457600,0.27007299270072993,positive
028,1,354ace4accc5b9e7d9464d9231f8838601c03c84fc61c7c909fa4c1062de0acc,6b0e27ca76eb15d64a4ba4e5ff9ecd47fc02142c1301c3a43172faacd588f6f7,ce5e572c69628e6d77c1d2c196cd7e9cfabacdca0b8abd6682eb6279333d9e17,39427116,39427116,1.0,127008,299206296,0.0004243029369027377,parity
029,1,691beb048177d3b2b94c322eda728001f3df9b9171bed0112a4e132ed2ecbe43,51fccebeea150ea98820b14ea630f87a9b1a21b683ba2f21f16b3e0fa7d78043,5816d90a458cf326110cf06d84b4349a56d56c705c59995c4adec26251b0e46a,37555,37555,1.0,0,258132,0.0,parity
030,1,d52931a6ac0d109c0517759e7f3e9de62446b16aec6d04cae1dd6ea3f78984dd,81da747dd32435c22cdb558453e16c5e084eb8123d5ef9519cceab64c72bb062,17e8128f50a26d58233f3933c2faf283f01275c7ba72fd59f8903b455144a151,2795858,2795156,1.0002511487730916,2691072,2442240,0.5242369838420108,positive
031,1,e11dd47cf173fb7c425cd609aedab0bac9eeae2b079b90b0dd21952c77d916aa,893bbb31cc1efc21f361ea4e6b8b940f86e669b5a9b9eb60f16a535409296236,8a9bacaaaac6915ea30aa741d048668e344f226786c1ebabc8f0fa7a1aef332f,1342229,1341484,1.000555355114187,1239044,3484148,0.2623319145188254,positive
032,1,7ed63ae53248b30418fb02dfdab3b7cb270510a83b4f8dfb35edb3b4c01122d0,572ce9d2ff646c63ed71e59e86d2e68e2c4c58689d3ec8a3a5dd1ea7ae8636e3,efdc7ef695595649f2a78b9ce8bb5da387a1e6c84d1249a4e6094ee1bacca81c,34107,34107,1.0,0,279156,0.0,parity
033,1,32855498275ff194bd288a9bc3a33b12dbea58403b3f45a539852ca1524f79e2,7c3ee0e3872736bc78b19f119cb283921c19f516e0fe907a2605b60a61f0841a,708e139335844689a0d45dec3ab18c544bac593d6d0198f154b606d74ee6683a,1741213,1741019,1.000111428996467,1351680,5890608,0.18663715113234933,positive
034,1,c0003261006041013cac176617ac75f90580c3fdae2b3c313a79bfc02ae5b279,2646805d6d9284d3750b0e8b67470fb335e039eed3ab4d4067ccc5395d19501c,8c4c89b14c21cea2f23220524228422738547a8bdaa14f514f5d2c519122892c,755680,750528,1.0068645007248231,628738,2980948,0.17418080132177702,positive
