case,current_speedup,lower_bound,speedup_ceiling,mean_gain_ceiling,cluster,components,giant_ops,giant_dominant_pipe_share,spill_bytes
099,4.814949195282949,319188,5.084774490269058,0.0026982529498610843,DDR-spill-and-replication,202,64,0.0098528095549689,3633152
007,4.967581463347626,196020,5.1656055504540355,0.001980240871064094,other-or-balanced,555,7,0.0018018018018018018,0
072,5.015284997961174,4585707,5.211372641121642,0.0019608764316046746,DDR-spill-and-replication,476,6140,0.006280940753295935,18202624
025,4.986276789687495,940781,5.169137131808572,0.0018286034212107705,other-or-balanced,2666,7,0.00037509377344336085,0
091,4.934339991932552,1796603,5.113410697855898,0.0017907070592334672,DDR-spill-and-replication,513,128,0.006342914658804457,337920
045,4.801024308209754,25234,4.977966236030752,0.0017694192782099804,other-or-balanced,68,28,0.016959418534221685,0
037,4.794543378995434,42286,4.966206309416828,0.001716629304213937,other-or-balanced,20,39,0.05,0
079,5.110660575354478,5885593,5.275976609323818,0.0016531603396934002,other-or-balanced,288,65,0.003472222222222222,24428544
013,4.855305998565201,52945,4.985343280763056,0.0013003728219785505,other-or-balanced,246,8,0.0040650406504065045,0
059,5.501140719714555,147773,5.613156665967396,0.0011201594625284096,other-or-balanced,64,43,0.015625,0
097,5.466035594487687,2061414,5.5745759949238725,0.001085404004361852,other-or-balanced,64,103,0.015625,4272128
081,4.905632937982743,30415,4.990794016110472,0.0008516107812772944,other-or-balanced,85,41,0.011764705882352941,0
076,5.022312137695723,1212467,5.101262962208456,0.000789508245127335,DDR-spill-and-replication,809,122,0.003789071083686208,184320
041,5.018440644645217,1179393,5.090717852318947,0.0007227720767372947,DDR-spill-and-replication,494,77,0.004895474993384493,22609920
001,4.9073723211654245,46850,4.975667022411953,0.0006829470124652825,other-or-balanced,200,3,0.005,0
030,5.004498290863337,555684,5.053292878686448,0.0004879458782311108,other-or-balanced,486,57,0.007304212528093125,4015104
020,4.948871342313051,106660,4.994805925370335,0.0004593458305728415,other-or-balanced,288,28,0.003995433789954338,0
021,5.253643510312214,1239524,5.298757426237814,0.0004511391592559999,other-or-balanced,80,49,0.0125,2011136
036,4.976493466252097,186530,4.993888382565807,0.00017394916313709708,other-or-balanced,800,3,0.00125,0
