case,cores,method,baseline,makespan,speedup,source_commit,result_sha256
017,2,tensor,162810,91058,1.7879812866524634,178a3673bd238b20772211427b8134b6db35f5af,70e589db0de690aae951007a2904615a28df14a0a15af5c12054951e9ce472e8
018,2,tensor,1004367,506102,1.9845149791939174,178a3673bd238b20772211427b8134b6db35f5af,0914dc988824dc69d1fff704109aabd28fb238cdd225dbd9c87c235a5247f65a
019,2,tensor,81144,43375,1.8707550432276656,178a3673bd238b20772211427b8134b6db35f5af,450fb27ce344d5b7d1f996c6e0eed60e8acd5c0e362ed10900a8ff6a3e602690
020,2,tensor,532746,266580,1.9984469952734638,178a3673bd238b20772211427b8134b6db35f5af,ad0e98d8a449cc516be5e3daee2e1033f3bb5352391fa60bc37e7d22be33e1b5
021,2,tensor,6567937,3149740,2.0852314794236984,178a3673bd238b20772211427b8134b6db35f5af,83d44b873b313d25f1f7c847a399d3d918d9c5428c51afcbea00d0060a10377a
022,2,tensor,56780,28148,2.0171948273411964,178a3673bd238b20772211427b8134b6db35f5af,f520fbe4faf2cbd9b625979c03d29931389b00a88943956c448811f10a77a789
023,2,tensor,122614,62880,1.949968193384224,178a3673bd238b20772211427b8134b6db35f5af,e6952e394c37d9a205dad89dd9a29def5f07a3fe379c341083e0e4f8e4f3ad6f
024,2,tensor,2555343,1433089,1.783101398447689,178a3673bd238b20772211427b8134b6db35f5af,af25b13ae1eae7e042286dbed6110131070c99bef3bbca8ab1a31af9df5f4440
025,2,tensor,4863026,4251120,1.1439399499426033,178a3673bd238b20772211427b8134b6db35f5af,51376112bdbc5af384cc5d87e7cf7cbff98b37987d55809300c874983da1db11
026,2,tensor,99203,56487,1.7562093933117355,178a3673bd238b20772211427b8134b6db35f5af,6eb0c5a3a69cf4f85097320e5f5485a5947dafaf8918cb0f426911b17a50c7cc
027,2,tensor,2363952,1115722,2.118764351693343,178a3673bd238b20772211427b8134b6db35f5af,dde4088d4a9a17374a35e9482033bcdd066f57dd3e154081f77bd9f0a9873d13
