case,cores,upper,lower,certified,domain,gap
067,2,30540678,29459760,1,at most one eligible producer per original tensor,0.03669133760763832
067,3,20263960,19640555,1,at most one eligible producer per original tensor,0.031740701828436135
067,4,15224345,14730952,1,at most one eligible producer per original tensor,0.03349362620962992
067,5,12592585,11785191,1,at most one eligible producer per original tensor,0.06850919938421018
068,1,260249,249144,1,at most one eligible producer per original tensor,0.044572616639373175
068,2,149888,124594,1,at most one eligible producer per original tensor,0.20301138096537552
068,3,133864,83077,1,at most one eligible producer per original tensor,0.6113244339588575
068,4,135357,62319,1,at most one eligible producer per original tensor,1.1720021181341163
068,5,134367,50529,1,at most one eligible producer per original tensor,1.65920560470225
069,1,19325,16796,1,at most one eligible producer per original tensor,0.15057156465825194
069,2,13308,8504,1,at most one eligible producer per original tensor,0.5649106302916276
069,3,10189,5740,1,at most one eligible producer per original tensor,0.7750871080139372
069,4,10293,4376,1,at most one eligible producer per original tensor,1.3521480804387567
069,5,11962,3722,1,at most one eligible producer per original tensor,2.213863514239656
070,1,93082,91873,1,at most one eligible producer per original tensor,0.013159470138125462
070,2,47873,45957,1,at most one eligible producer per original tensor,0.04169114607132762
070,3,33242,30652,1,at most one eligible producer per original tensor,0.08449693331593378
070,4,29485,22999,1,at most one eligible producer per original tensor,0.28201226140266966
070,5,25500,18408,1,at most one eligible producer per original tensor,0.38526727509778347
071,1,14386,12656,1,at most one eligible producer per original tensor,0.13669405815423508
071,2,9261,6434,1,at most one eligible producer per original tensor,0.43938451973888726
071,3,9266,4360,1,at most one eligible producer per original tensor,1.1252293577981654
071,4,8279,3370,1,at most one eligible producer per original tensor,1.4566765578635015
071,5,9465,2918,1,at most one eligible producer per original tensor,2.2436600411240577
072,1,22976587,22928161,1,at most one eligible producer per original tensor,0.002112075189981466
072,2,11663236,11464114,1,at most one eligible producer per original tensor,0.017369157354855336
072,3,7844564,7642765,1,at most one eligible producer per original tensor,0.026403925804339146
072,4,5940529,5732096,1,at most one eligible producer per original tensor,0.03636244054530846
072,5,4877876,4585695,1,at most one eligible producer per original tensor,0.06371575082948167
073,1,8210935,8161280,1,at most one eligible producer per original tensor,0.006084217181618667
073,2,4236424,4080944,1,at most one eligible producer per original tensor,0.03809902806801557
073,3,2854038,2720832,1,at most one eligible producer per original tensor,0.04895781878484229
073,4,2222685,2040776,1,at most one eligible producer per original tensor,0.0891371713505058
073,5,1846409,1632743,1,at most one eligible producer per original tensor,0.13086321607258466
074,1,1579934,1579590,1,at most one eligible producer per original tensor,0.00021777803100797577
074,2,791372,789878,1,at most one eligible producer per original tensor,0.0018914313349656098
074,3,533381,526641,1,at most one eligible producer per original tensor,0.012798092058916799
074,4,408601,395022,1,at most one eligible producer per original tensor,0.034375300616168225
074,5,336399,316051,1,at most one eligible producer per original tensor,0.06438201429516122
075,1,1123934,1107632,1,at most one eligible producer per original tensor,0.014717884640385925
075,2,587399,553872,1,at most one eligible producer per original tensor,0.06053203628275128
075,3,444511,369286,1,at most one eligible producer per original tensor,0.20370390429098317
075,4,383596,279170,1,at most one eligible producer per original tensor,0.3740588172081527
