cores,gap,cdf
3,0.2065744643991454,0.8
3,0.21028944581715492,0.81
3,0.21706908213981113,0.82
3,0.22167706085774253,0.83
3,0.24524881653388753,0.84
3,0.2495111952065594,0.85
3,0.2606898367561874,0.86
3,0.26119842003529703,0.87
3,0.3325704056953118,0.88
3,0.35061041838641005,0.89
3,0.35409741292094243,0.9
3,0.3596015260703689,0.91
3,0.36667832879902673,0.92
3,0.47678013229020944,0.93
3,0.6113244339588575,0.94
3,0.6241891688037411,0.95
3,0.7486925663055659,0.96
3,0.7626579731143845,0.97
3,0.7750871080139372,0.98
3,1.1133884919142534,0.99
3,1.1252293577981654,1.0
4,0.0011870748299320777,0.01
4,0.0027040208862303405,0.02
4,0.002713005254301404,0.03
4,0.0027360253903156995,0.04
4,0.0033319450229070124,0.05
4,0.00340136054421758,0.06
4,0.0037501896772236254,0.07
4,0.003798361278419815,0.08
4,0.006883477739880739,0.09
4,0.008179500407479612,0.1
4,0.009738282101864781,0.11
4,0.010830819851933127,0.12
4,0.012134324146364506,0.13
4,0.013412049651831737,0.14
4,0.014982246470944816,0.15
4,0.015463746374033693,0.16
4,0.016560168226834815,0.17
4,0.01952016166345283,0.18
4,0.019651590665610952,0.19
4,0.01976587986950684,0.2
4,0.020856476338591445,0.21
4,0.023704206416746088,0.22
4,0.02450150895698755,0.23
4,0.02734741393783624,0.24
