case_id,cores,makespan_cycles,baseline_cycles,speedup,extra_ddr_bytes,spill_bytes,solver_wall_seconds,E0_wall_seconds,run_path,result_sha256,baseline_receipt_sha256
017,3,42129,162810,3.8645588549455243,875176,0,1.7694310000006226,1.319797500000277,results/a/q2-yuanzhifang/feedback-20260924/round14g/017-gap_packet/run.json,d9b7a234e6c6dfabdf2f4b7e8594df86cf121f42d9dec84105c8452821cbf0c9,c431888f151af72cf7b2f5f88172a8c6094dd2ed64e00899dea6498f4bad194e
018,3,334156,1004367,3.0056829744191336,10065416,0,2.6664994999991904,2.7565742999977374,results/a/q2-yuanzhifang/feedback-20260924/round14g/018-gap_packet/run.json,cd9608578bf51630e7d29edfbee6bcfe57d23c93c59dd8f46604ceef85764ab9,f32484f58daa5ee9ae5e94b6043d1489767725b8bedbef56a7737598ea152da1
019,3,22795,81144,3.559728010528625,854868,0,1.8855779000004986,0.7333056999996188,results/a/q2-yuanzhifang/feedback-20260924/round14g/019-gap_packet/run.json,923d01ce743f438cb63aec8301828524bbf6946bbdaa4dd9ce101a22cd17f9f7,db54fd99db29f96f902a0a4ad827b4198c51bee153188386dcbe6a6919585f7e
020,3,485976,532746,1.0962393204602696,26353664,14196736,3.174617300002865,5.39767589999974,results/a/q2-yuanzhifang/feedback-20260924/round14g/020-gap_packet/run.json,b1f40c633e36ae32f071b5311a5e2aa44c19462f8c79dcfaf5a0d1d48d92dbf9,5dad76f64cc6807d3a24619160da1acbe4f2631f5f669ebf985479ae99b1036d
021,3,2110186,6567937,3.1124919793800165,9050112,5466112,0.8939156999986153,3.1887638000007428,results/a/q2-yuanzhifang/feedback-20260924/round14g/021-gap_packet/run.json,3ef7e45f94dd811050eca67b81ebd167d07d4b506d7e82fdfe59d30b12862d5e,96e03922e241d80250237a7000a7aa17ddbff89e8d5cdec4311257414b296f88
022,3,21816,56780,2.602676934360103,737186,0,1.8078003999980865,1.250549599997612,results/a/q2-yuanzhifang/feedback-20260924/round14g/022-gap_packet/run.json,74145dda652961070eea78ff46f19c17ec8e3e723fd22232cd1480cb31671d40,3ba8a2b8a41035551ce5b5b254c6db4c1135fc088b5ca9ba4c2e770397e36aa9
023,3,29509,122614,4.155139110102003,1210278,0,1.737034900001163,1.281902100003208,results/a/q2-yuanzhifang/feedback-20260924/round14g/023-gap_packet/run.json,65da0d6a00facdec7df430f8a5a9f9e64e85e2bb23973f3ba068022385fa29fe,3e2ba5078e431cd65f55b4d655bd755537dd6c661cf5206e3f290e964a065c63
024,3,957534,2555343,2.6686707730482677,333324,0,3.172845299999608,4.65478830000211,results/a/q2-yuanzhifang/feedback-20260924/round14g/024-gap_packet/run.json,3f70cc477f42ed8a368c9f6c8b37b7f0572d4ba14e83f74b583158ec8ddb6f3b,f9b68b57c3e2c56d45c384eb9cec661e678302b64e6b52db87c2cb0b3a493e62
025,3,1610875,4863026,3.018872351982618,49866240,22516224,7.976537499998813,23.338344299998425,results/a/q2-yuanzhifang/feedback-20260924/round14g/025-gap_packet/run.json,c90b4b1d60bc727f152a755260a00a8e7e2b43ae313d2e9e69cec358e6a52edd,bf46b4aef94d9574cb5e37b8648e10fc6792f051ccbd73c6530e9d0bbb46ab55
026,3,37309,99203,2.65895628400654,1334564,0,2.4285137000006216,1.667487799997616,results/a/q2-yuanzhifang/feedback-20260924/round14g/026-gap_packet/run.json,1b5f21cb17cf5b3e3e21730609ad75a1f9b2a220d30d5ec6d2fbc50f570b0c79,ef3e0cbd8b2139d77c57a3b923150d6d3e9bc57dd82d9d07651819bed33cb0ff
027,3,837049,2363952,2.8241500796249683,2672640,0,1.2487297000006947,3.028253599997697,results/a/q2-yuanzhifang/feedback-20260924/round14g/027-gap_packet/run.json,1357b7c7acff5ebf279e69be84c5cb91efb775d0e5d6888d2faf1f956747eafb,8e274f9fb91ca86349f3b9d561985ddcd4179ad9df158d62801430a64e9b43a1
028,3,13737069,43836040,3.1910766408758664,43199232,31339008,7.977795799997693,10.556837500000256,results/a/q2-yuanzhifang/feedback-20260924/round14g/028-gap_packet/run.json,eeccc421ec716fa918378d2f937fed8a80b18c8d14e6cded019421d93e3ca6b9,11c284e8c45d55fcc92d0a13644da7b82eeedf9a8329b57d0dab3ead82678b64
029,3,14432,37555,2.602203436807095,258602,0,1.9014449999995122,1.3754805000025954,results/a/q2-yuanzhifang/feedback-20260924/round14g/029-gap_packet/run.json,1de9d5100785878d5609bde33f689c350a29f195fe31c4428121fbb848b3d46a,6aabc27fd75e15c063030eafab80e0f4136775bb57530a5874629377c1375392
030,3,937988,2808034,2.9936779575005223,4874240,972800,2.7236326999991434,5.420483600002626,results/a/q2-yuanzhifang/feedback-20260924/round14g/030-gap_packet/run.json,c0a559bd53c660414553ec0f951ceeb0f00e4e883a8e0de753b868f7689b6373,f25a6df7eb974502dde674f2c4e9998fd9ae753de807eab5eb000c4a5cf1a5b4
031,3,568473,1414369,2.4880143823893133,19845040,2076672,2.8237838999993983,4.037561100001767,results/a/q2-yuanzhifang/feedback-20260924/round14g/031-gap_packet/run.json,3dbaf9efe9516049d2e05f57e5e421f8b3f2837803c964b2db6c4fd2c7e46cbb,5cf7d8e862f386a819645f9c39df7f841a0628c0242efc92179bf28f702879de
032,3,14092,41443,2.940888447346012,311714,0,0.9300116999984311,1.2256510999977763,results/a/q2-yuanzhifang/feedback-20260924/round14g/032-gap_packet/run.json,850d45fb234033bcce1ceadcc0f6bb1107b528cbc93dece912a2182d8fa54b13,cfe8a3d972ebcbbb1cb363de750156b42fa314f8add6663d1a0c84271f66d7da
033,3,591701,1774196,2.998467131203091,12444280,677376,1.807170700001734,2.36026220000349,results/a/q2-yuanzhifang/feedback-20260924/round14g/033-gap_packet/run.json,04d8f489664eb6a7df893f714384449d5d8d3189db38a8931eed3fcaf8dbc945,028ef56ff63399cefeaf65308eb560c06874b3e2f1706d938782430f961988d1
034,3,283749,842996,2.97092148342373,9723242,183302,1.6241126000022632,2.377387500000623,results/a/q2-yuanzhifang/feedback-20260924/round14g/034-gap_packet/run.json,8db139b4f5417ab5599218eba0047a9b8aeca1bad2f5dd5232abf69c24a9e6ce,515419317cfb43c52e3f335dbfd93059c5a1a6718f186ef7188437ce2b4129ba
035,3,51825,169571,3.271992281717318,1166174,0,2.041152499998134,2.7054586999984167,results/a/q2-yuanzhifang/feedback-20260924/round14g/035-gap_packet/run.json,7dbba3c9c7d54454988d432294f4f2211c588baf06696c70ebc25bd3488c1fb5,9e66ba75eb3d1d614a19acca0f0a35845ed25ff149db6f6c91472d1331018213
