case_id,cores,graph_sha256,config_sha256,B,U,L_safe_compute_window,L_safe_global,L_safe_separator,L_safe_compute_base,L_safe_compute_min_window,L_conditional_archived,A_cell,C_cell_safe,C_cell_safe_global,C_cell_conditional,safe_global_max_makespan_reduction,safe_global_max_relative_speed_gain,safe_max_makespan_reduction,safe_max_relative_speed_gain,conditional_max_makespan_reduction,conditional_max_relative_speed_gain,compute_window_dominant,conditional_dominant,extra_ddr_bytes,spill_bytes,selected,solver_wall_seconds,external_E0_wall_seconds,official_curve_point,L_conditional_combined,C_cell_conditional_combined,old_integer_scalar_certified_by_domination,safe_global_dominant,safe_global_max_makespan_cycles_reduction,mean_speedup_gap_contribution_cap
007,1,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,1012562,1012562,979056,979056,979020,979020,979056,979236,1.0,1.0342227615172166,1.0342227615172166,1.0340326540282425,0.033090319407601654,0.03422276151721659,0.033090319407601654,0.03422276151721659,0.032912552515302784,0.034032654028242515,PIPE_M,PIPE_M_rmin_work_qmin,0,0,bounded,0.15997974999481812,2.874947499978589,1.0,979236,1.0340326540282425,False,PIPE_M,33506,0.00034222761517216594
007,2,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,1012562,507494,489546,489546,489510,489510,489546,489726,1.9952196479170197,2.0683694688548164,2.0683694688548164,2.0676092345515658,0.03536593536081212,0.03666254039456973,0.03536593536081212,0.03666254039456973,0.03501125136454819,0.036281512519245496,PIPE_M,PIPE_M_rmin_work_qmin,27648,0,bounded,2.2233474999957252,1.8259712909930386,1.9952196479170197,489726,2.0676092345515658,False,PIPE_M,17948,0.0007314982093779676
007,3,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,1012562,338094,326376,326376,326340,326340,326376,326556,2.994912657426633,3.102440130401745,3.102440130401745,3.100730043239138,0.0346590001597189,0.0359033752481801,0.0346590001597189,0.0359033752481801,0.034126603843901426,0.035332377907617785,PIPE_M,PIPE_M_rmin_work_qmin,55296,0,bounded,2.11505545800901,1.1969163749890868,2.994912657426633,326556,3.100730043239138,False,PIPE_M,11718,0.001075274729751121
007,4,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,1012562,254398,244791,244791,244755,244755,244791,244971,3.980227831979811,4.136434754545714,4.136434754545714,4.133395381494136,0.0377636616640068,0.03924572390324799,0.0377636616640068,0.03924572390324799,0.03705610893167399,0.03848210604520541,PIPE_M,PIPE_M_rmin_work_qmin,82944,0,bounded,1.7117486250062939,1.0572819169901777,3.980227831979811,244971,4.133395381494136,False,PIPE_M,9607,0.001562069225659033
007,5,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,1012562,203834,195840,195840,195804,195804,195840,196020,4.967581463347626,5.170353349673203,5.170353349673203,5.1656055504540355,0.039218187348528666,0.04081903594771252,0.039218187348528666,0.04081903594771252,0.03833511582954763,0.039863279257218664,PIPE_M,PIPE_M_rmin_work_qmin,110592,0,bounded,1.5926649580069352,0.79708104202291,4.967581463347626,196020,5.1656055504540355,False,PIPE_M,7994,0.0020277188632557676
008,1,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,487605,487605,250128,250128,250128,250128,250128,250334,1.0,1.9494218959892535,1.9494218959892535,1.947817715532049,0.48702740948103485,0.9494218959892535,0.48702740948103485,0.9494218959892535,0.48660493637267865,0.9478177155320491,PIPE_M,PIPE_M_rmin_work_qmin,0,0,bounded,0.15619820801657625,0.2912091249891091,1.0,250334,1.947817715532049,False,PIPE_M,237477,0.009494218959892536
008,2,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,487605,194956,125064,125064,125064,125064,125064,125270,2.5011028129424075,3.898843791978507,3.898843791978507,3.8924323461323542,0.35850140544533127,0.5588498688671399,0.35850140544533127,0.5588498688671399,0.35744475676562915,0.5562864213299274,PIPE_M,PIPE_M_rmin_work_qmin,7962624,0,fork-frontier,0.6757035420159809,0.2882200419844594,2.5011028129424075,125270,3.8924323461323542,False,PIPE_M,69892,0.013977409790360995
008,3,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,487605,137062,83376,83376,83376,83376,83376,83582,3.5575505975397994,5.848265687967761,5.848265687967761,5.833851786269771,0.39169135135923894,0.6439023220111304,0.39169135135923894,0.6439023220111304,0.3901883819001619,0.639850685554306,PIPE_M,PIPE_M_rmin_work_qmin,3981312,0,shared-input,0.6743704999971669,0.28287883300799876,3.5575505975397994,83582,5.833851786269771,False,PIPE_M,53686,0.02290715090427961
008,4,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,487605,117710,62532,62532,62532,62532,62532,62738,4.142426301928468,7.797687583957014,7.797687583957014,7.772083904491696,0.4687622122164642,0.882396213138873,0.4687622122164642,0.882396213138873,0.46701214850055217,0.876215371863942,PIPE_M,PIPE_M_rmin_work_qmin,3981312,0,shared-input,0.6749153749842662,0.29057849998935126,4.142426301928468,62738,7.772083904491696,False,PIPE_M,55178,0.036552612820285456
008,5,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,487605,100603,50026,50026,50026,50026,50026,50232,4.846823653370178,9.747031543597329,9.747031543597329,9.707059245102723,0.5027384869238491,1.0110142725782594,0.5027384869238491,1.0110142725782594,0.5006908342693558,1.0027671603758561,PIPE_M,PIPE_M_rmin_work_qmin,0,0,bounded,0.8037339170114137,0.29050120801548474,4.846823653370178,50232,9.707059245102723,False,PIPE_M,50577,0.049002078902271505
009,1,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,153261,153397,119992,119992,119992,119992,119992,119998,0.9991134116051813,1.2772601506767118,1.2772601506767118,1.2771962866047768,0.2177682744773366,0.27839355957063794,0.2177682744773366,0.27839355957063794,0.21772916028344758,0.27832963882731376,PIPE_V,PIPE_V_rmin_work_qmin,0,0,bounded,0.2835804999922402,2.899356040987186,1.0,119998,1.2771962866047768,False,PIPE_V,33405,0.0027814673907153053
