case,cores,status,base_selected,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,attempt_id,run_id,reused,compute_ops,components,largest_component_ops,actual_tasks,selection_reason,frontier_packets,tail_ops,oversized_tasks_processed,oversized_task_splits,indivisible_oversize_count
078,4,ok,component-pack,690924,0.04060583299724385,0.12911954201990739,15492000,13146912,6701472,2296143,2196481,3.3232931552529656,3.1790486363189006,nikolastarx-20260924T1439Z-boundedfull4-99-P1-078-k4-r0,20260924T1439Z-boundedfull4-99,False,1024,8,128,4,enough independent components or one core,,,0,0,0
079,4,ok,component-pack,7559556,0.3988474590005353,4.1374027080019005,45064192,35713024,13680640,31052251,15035942,4.107681853272864,1.9889980311012976,nikolastarx-20260924T1439Z-boundedfull4-99-P1-079-k4-r0,20260924T1439Z-boundedfull4-99,False,18720,288,65,20,enough independent components or one core,,,4,4,0
080,4,ok,component-pack,111314,0.04084216698538512,0.18581762499525212,6168576,4190208,0,292138,354762,2.6244497547478303,3.187038467757874,nikolastarx-20260924T1439Z-boundedfull4-99-P1-080-k4-r0,20260924T1439Z-boundedfull4-99,False,1098,18,61,4,enough independent components or one core,,,0,0,0
081,4,ok,component-pack,39588,0.07732816602219827,0.514386499999091,1741140,0,0,151795,169335,3.834369000707285,4.277432555319794,nikolastarx-20260924T1439Z-boundedfull4-99-P1-081-k4-r0,20260924T1439Z-boundedfull4-99,False,3485,85,41,4,enough independent components or one core,,,0,0,0
082,4,ok,component-pack,721041,0.1267419169889763,1.3205155829782598,592006,0,0,721041,758437,1.0,1.0518639023301033,nikolastarx-20260924T1439Z-boundedfull4-99-P1-082-k4-r0,20260924T1439Z-boundedfull4-99,False,4113,1,4113,1,not an in-tree forest,,,1,0,1
083,4,ok,component-pack,450029,0.07788320898544043,0.570641957980115,16415904,14977600,12186400,1057993,922605,2.350944050272316,2.0501012156994327,nikolastarx-20260924T1439Z-boundedfull4-99-P1-083-k4-r0,20260924T1439Z-boundedfull4-99,False,3844,31,124,4,enough independent components or one core,,,0,0,0
084,4,ok,component-pack,629028,0.18479470899910666,4.232450374984182,13236330,0,0,2507412,1776688,3.986169137144928,2.824497478649599,nikolastarx-20260924T1439Z-boundedfull4-99-P1-084-k4-r0,20260924T1439Z-boundedfull4-99,False,8616,1077,8,4,enough independent components or one core,,,0,0,0
085,4,ok,component-pack,3187899,0.4034783749957569,28.78511375002563,1689734,0,0,3187899,3434060,1.0,1.0772173146012467,nikolastarx-20260924T1439Z-boundedfull4-99-P1-085-k4-r0,20260924T1439Z-boundedfull4-99,False,19737,1,19737,1,not an in-tree forest,,,1,0,1
086,4,ok,component-pack,118403,0.13136595801915973,2.0798275420092978,338022,0,0,118403,150350,1.0,1.2698157985861844,nikolastarx-20260924T1439Z-boundedfull4-99-P1-086-k4-r0,20260924T1439Z-boundedfull4-99,False,5274,1,5274,1,not an in-tree forest,,,1,0,1
087,4,ok,component-pack,1078246,0.5689548749942333,53.03720054202131,19028858,13109760,7165440,3974071,3132944,3.68568118963576,2.9055929722901825,nikolastarx-20260924T1439Z-boundedfull4-99-P1-087-k4-r0,20260924T1439Z-boundedfull4-99,False,27556,196,12693,7,enough independent components or one core,,,2,2,2
088,4,ok,component-pack,202670,0.07854808299452998,0.8947877500031609,1977254,147456,0,243623,254309,1.2020674002072333,1.2547935066857454,nikolastarx-20260924T1439Z-boundedfull4-99-P1-088-k4-r0,20260924T1439Z-boundedfull4-99,False,3309,31,2798,4,enough independent components or one core,,,0,0,0
